主管機關,辦理單位,成立日期,負責人,連絡電話,傳真,電子郵件,地址,相關網站,X坐標,Y坐標,備註,最後更新時間
臺東縣政府,社團法人臺東縣弱勢者關懷協會卑南鄉-初鹿,20150313,何威震,(089)359586,,,臺東縣卑南鄉初鹿村5鄰忠孝路165號,,259494.35,2528855.14,,20171027
臺東縣政府,社團法人臺東縣蘭嶼鄉居家關懷協會蘭嶼鄉-蘭嶼,20050801,廖明德,(089)732848,,,臺東縣蘭嶼鄉東清村7鄰130號,,,,,20171027
臺東縣政府,財團法人一粒麥子社會福利慈善事業基金會綠島鄉-綠島,20070201,呂信雄,(089)960220,,,臺東縣綠島鄉公館村柴口63號,,299800.99,2508582.2,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會太麻里鄉-華源,20120504,何威霆,(089)359586,,,臺東縣太麻里鄉華源村1鄰15之1號,,,,,20171204
臺東縣政府,社團法人臺東縣弱勢者關懷協會太麻里鄉-大王,20130321,何威霆,(089)359586,,,臺東縣太麻里鄉大王村12鄰順安路37號,,,,,20171204
臺東縣政府,臺灣原住民族部落終身學習發展協會太麻里鄉-金崙,20100819,林昌輝,(089)780552,,,臺東縣太麻里鄉金崙村8鄰金崙354號,,246287.11,2492535.64,,20171027
臺東縣政府,臺東縣太麻里鄉多良社區發展協會太麻里鄉-大溪,20120420,莊瑞山,(089)761239,,,臺東縣太麻里鄉多良村18鄰大溪250之1號,,243926.67,2484819.36,,20171027
臺東縣政府,社團人臺東縣南迴健康促進關懷服務協會大武鄉-南興,20150701,潘美緣,(089)792246,,,臺東縣大武鄉大武村11鄰大武街19號,,240373.37,2473305.55,,20171027
臺東縣政府,財團法人天主教白永恩神父社會福利基金會大武鄉-大鳥,20170508,谷聲野,(089)771077,,,臺東縣大武鄉大鳥村2鄰大鳥57號,,240764.3,2476080.54,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會大武鄉-大武,20130321,何威震,(089)359586,,,臺東縣大武鄉大武村10鄰大武街21巷1號,,240374.79,2473186.03,,20171027
臺東縣政府,社團人臺東縣南迴健康促進關懷服務協會達仁鄉-安朔,20130403,潘美緣,(089)792246,,,臺東縣達仁鄉安朔村6鄰75號,,,,,20171027
臺東縣政府,社團人臺東縣南迴健康促進關懷服務協會達仁鄉-新化,20130403,潘美緣,(089)792246,,,臺東縣達仁鄉新化村3鄰63之3號,,,,,20171027
臺東縣政府,社團人臺東縣南迴健康促進關懷服務協會達仁鄉-森永,20170508,潘美緣,(089)792246,,,臺東縣達仁鄉森永村30號,,,,,20171027
臺東縣政府,臺東縣達仁鄉南田社區發展協會達仁鄉-南田,20170905,高富源,(089)702145,(089)702145,ko610322@yahoo.com.tw,臺東縣達仁鄉南田村2鄰15號,,,,,20171027
臺東縣政府,臺灣原住民族部落終身學習發展協會金峰鄉-嘉蘭,20100430,林昌輝,(089)780377,,,臺東縣金峰鄉嘉蘭村12鄰新富7號,,,,,20171027
臺東縣政府,臺灣原住民族部落終身學習發展協會金峰鄉-壢坵,20100430,林昌輝,(089)780377,,,臺東縣金峰鄉壢坵村3鄰33號,,,,,20171027
臺東縣政府,臺東縣關山鎮新埔社區發展協會關山鎮-新埔,20060701,陳宏宗,0965506507,,,臺東縣關山鎮新福里5鄰隆盛路10-1號,,,,,20171027
臺東縣政府,臺東縣關山鎮中福社區發展協會關山鎮-中福,20100430,偕麗娟,(089)813381,,,臺東縣關山鎮中福里3鄰中山路70號,,266633.67,2549561.13,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會關山鎮-德高,20140101,何威震,(089)359586,,,臺東縣關山鎮德高里24鄰東明21之3號,,268508.18,2555143.75,,20171027
臺東縣政府,臺東縣鹿野鄉社區健康促進協會鹿野鄉-龍田,20070101,徐坤民,(089)580871,,,臺東縣鹿野鄉龍田村3鄰光榮路236號,,262746.27,2533683.96,,20171027
臺東縣政府,臺東縣鹿野鄉社區健康促進協會鹿野鄉-瑞源,20060501,徐坤民,(089)580871,,,臺東縣鹿野鄉瑞隆村10鄰佑民路7號,,266012.74,2539310.92,,20171204
臺東縣政府,臺東縣鹿野鄉社區健康促進協會鹿野鄉-新豐,20160101,徐坤民,(089)580871,,,臺東縣鹿野鄉瑞豐村6鄰新和路283巷1號,,,,,20171204
臺東縣政府,臺東縣延平鄉紅葉社區發展協會延平鄉-紅葉,20130321,胡再興,(089)561365,,,臺東縣延平鄉紅葉村1鄰紅谷路9號,,,,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會延平鄉-桃源,20140101,何威震,(089)359586,,,臺東縣延平鄉桃源村4鄰昇平路78號,,258651.68,2533535.94,,20171027
臺東縣政府,臺東縣關山鎮部落文化發展協會池上鄉-大坡,20130321,楊清順,(089)930082,,,臺東縣池上鄉大坡村1鄰1號,,,,,20171027
臺東縣政府,臺東縣池上鄉富興社區發展協會池上鄉-富興,20120504,劉志宏,(089)862617,,,臺東縣池上鄉富興村4鄰水墜62-5號,,,,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會池上鄉-錦園,20120504,何威震,(089)359586,,,臺東縣池上鄉錦園村1鄰2-1號,,,,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會池上鄉-福文,20130321,何威震,(089)359586,,,臺東縣池上鄉福文村7鄰文化路22號,,272131.65,2558355.54,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會池上鄉-福原,20140506,何威震,(089)359586,,,臺東縣池上鄉福原村1鄰公園2號,,271542.22,2557769.33,,20171027
臺東縣政府,臺東縣關山鎮部落文化發展協會池上鄉-振興,20160101,楊清順,(089)930082,,,臺東縣池上鄉振興村6鄰35號,,,,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會海端鄉-霧鹿,20070101,章春蘭,(089)335482,,,臺東縣海端鄉霧鹿村3鄰37號,,,,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會海端鄉-崁頂,20070101,章春蘭,(089)335482,,,臺東縣海端鄉崁頂村20號,,,,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會海端鄉-初來,20070101,章春蘭,(089)335482,,,臺東縣海端鄉海端村7鄰初來6號,,267421.1,2557256.5,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會海端鄉-廣原,20140902,章春蘭,(089)335482,,,臺東縣海端鄉廣原村6鄰錦屏1號,,268040,2558933.76,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會海端鄉-加拿,20170725,章春蘭,(089)335482,,,臺東縣海端鄉加拿村1鄰加南6之3號,,263401.56,2544366.28,,20171027
臺東縣政府,財團法人天主教會花蓮教區成功鎮-聖心,20070101,黃兆明,(089)852190,,,臺東縣成功鎮忠智里26鄰中華路150號,,289037.19,2555556.89,,20171027
臺東縣政府,臺東縣聖心全人關懷協會成功鎮-忠孝,20101213,劉秀蘭,(089)853161,,,臺東縣成功鎮忠智里26鄰中華路150號,,289037.19,2555556.89,,20171027
臺東縣政府,社團法人臺東縣弱勢者關懷協會東河鄉-興昌,20140530,何威震,(089)359586,,,臺東縣東河鄉興昌村6鄰26之3號,,,,,20171027
臺東縣政府,臺東縣東甯志工服務協會東河鄉-東河,20140530,葉光弘,(089)227232,,,臺東縣臺東市新生里9鄰四維路三段72號,,264685.23,2518383.46,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會東河鄉-都蘭,20100819,章春蘭,(089)335482,,,臺東縣東河鄉都蘭村都蘭路209之1號,,,,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會長濱鄉-長濱,20090301,章春蘭,(089)335482,,,臺東縣長濱鄉竹湖村13鄰28號,,,,,20171027
臺東縣政府,社團法人臺東縣天主教愛德婦女協會長濱鄉-樟原,20160501,章春蘭,(089)335482,,,臺東縣長濱鄉樟原村6鄰70-3號,,,,,20171027
臺東縣政府,臺東縣橄欖社會關懷服務協會成功鎮-三民,20161031,陳雯隆,(089)355558,,,臺東縣成功鎮三民里三民路99號,,288285.18,2555833.36,,20171027
臺東縣政府,臺東縣橄欖社會關懷服務協會成功鎮-和平,20161031,陳雯隆,(089)355558,,,臺東縣成功鎮和平里2鄰47號,,285875.12,2552776.8,,20171027
臺東縣政府,臺東縣長濱鄉真柄社區發展協會-長濱鄉-真柄,20140530,李淑慧,0963284747,,,臺東縣長濱鄉三間村2鄰真柄20號,,,,,20171204
臺東縣政府,臺東縣關山鎮電光社區發展協會-關山鎮-電光,20120420,潘寶瑩,(089)951472,,,臺東縣關山鎮電光里中興3鄰85號,,,,,20171204
臺東縣政府,大武環保站,20150909,慈濟台東聯絡處,(089)225229,,,臺東縣臺東市新生里40鄰四維路二段606號,,265167.73,2518398.46,,20171204
臺東縣政府,成功環保站,20150909,慈濟台東聯絡處,(089)225229,,,臺東縣臺東市新生里40鄰四維路二段606號,,265167.73,2518398.46,,20171204
臺東縣政府,台東聯絡處環保站,20150909,慈濟台東聯絡處,(089)225229,,,臺東縣臺東市新生里40鄰四維路二段606號,,265167.73,2518398.46,,20171204
臺東縣政府,太麻里曙光環保站,20150909,慈濟台東聯絡處,(089)225229,,,臺東縣臺東市新生里40鄰四維路二段606號,,265167.73,2518398.46,,20171204
臺東縣政府,臺東縣東河鄉尚德社區發展協會-東河鄉-尚德,20130426,陳人鼎,0982161682,,,臺東縣東河鄉尚德村3鄰前寮43號,,274680.8,2540176.27,,20171204
臺東縣政府,中華民國原住民海岸山脈部落發展協會-泰源,20150803,謝順隆,0933372268,,,臺東縣東河鄉泰源村8鄰225號,,,,,20171204
臺東縣政府,社團法人臺東縣天主教愛德婦女協會-大武鄉-大鳥,20100325,曾靜婷,(089)335482,,,臺東縣大武鄉大鳥村2鄰59號,,,,,20171204
臺東縣政府,社團法人臺灣柏林關愛協會-卑南鄉-溫泉,20150713,陳璽如,(089)342594,,,臺東縣卑南鄉溫泉村11鄰溫泉路293號,,252577.81,2510823,,20171204
臺東縣政府,社團法人臺東縣弱勢者關懷協會-臺東市-鐵花,20140530,何威霆,(089)359586,,,臺東縣臺東市民權里3鄰更生路50巷18號,,265502.03,2517354.67,,20171204
臺東縣政府,社區照顧關懷據點海端鄉加拿村,20170725,邱婉伶,(089)864687,,,臺東縣海端鄉加拿村1鄰加南6之3號,,263401.56,2544366.28,,20171204
